Class passed,National,,Rural,,Urban,
,Male,Female,Male,Female,Male,Female
No schooling,28.5,35.4,31,38.1,20.4,26.5
Primary incomplete (I-IV),22.1,20.2,23,20.9,19.1,17.8
Primary complete (V),12.6,12.2,13.1,12.5,11,11.2
"Junior, Secondary, Incomplete (VI-VII)",8.2,8.9,8.5,9.2,8.6,9.3
Jr. Secondary complete (VIII),5.5,6.1,5.4,5.7,6,7.2
Secondary incomplete (IX),6.8,6.9,6.5,6.4,7.7,8.5
Secondary complete (X),9.3,6.8,8.2,5.3,13.2,11.5
Higher   Secondary   and   above (XII+),6.6,3.3,4.2,1.8,14.5,8.4
Others,0.1,0,0.1,0,0.1,0.1
Total,100,100,100,100,100,100
